"Points : 0", "Points : 1", "Points : 2","i", "j", "k","active : 0", "active : 1", "active : 2"
-2.530612244897959, -1.368421052631579, -0.1, 11, 3, 0, 0, 0, 0
-2.306122448979592, -1.368421052631579, -0.1, 12, 3, 0, 0, 0, 0
-2.081632653061224, -1.368421052631579, -0.1, 13, 3, 0, 0, 0, 0
-1.857142857142857, -1.368421052631579, -0.1, 14, 3, 0, 0, 0, 0
-1.63265306122449, -1.368421052631579, -0.1, 15, 3, 0, 0, 0, 0
-1.408163265306123, -1.368421052631579, -0.1, 16, 3, 0, 0, 0, 0
-1.183673469387755, -1.368421052631579, -0.1, 17, 3, 0, 0, 0, 0
-0.9591836734693873, -1.368421052631579, -0.1, 18, 3, 0, 0, 0, 0
-0.7346938775510203, -1.368421052631579, -0.1, 19, 3, 0, 0, 0, 0
-0.5102040816326525, -1.368421052631579, -0.1, 20, 3, 0, 0, 0, 0
-0.2857142857142856, -1.368421052631579, -0.1, 21, 3, 0, 0, 0, 0
-0.06122448979591866, -1.368421052631579, -0.1, 22, 3, 0, 0, 0, 0
0.1632653061224492, -1.368421052631579, -0.1, 23, 3, 0, 0, 0, 0
0.3877551020408161, -1.368421052631579, -0.1, 24, 3, 0, 0, 0, 0
0.6122448979591839, -1.368421052631579, -0.1, 25, 3, 0, 0, 0, 0
0.8367346938775517, -1.368421052631579, -0.1, 26, 3, 0, 0, 0, 0
1.061224489795918, -1.368421052631579, -0.1, 27, 3, 0, 0, 0, 0
1.285714285714286, -1.368421052631579, -0.1, 28, 3, 0, 0, 0, 0
1.510204081632653, -1.368421052631579, -0.1, 29, 3, 0, 0, 0, 0
1.73469387755102, -1.368421052631579, -0.1, 30, 3, 0, 0, 0, 0
1.959183673469388, -1.368421052631579, -0.1, 31, 3, 0, 0, 0, 0
2.183673469387754, -1.368421052631579, -0.1, 32, 3, 0, 0, 0, 0
2.408163265306122, -1.368421052631579, -0.1, 33, 3, 0, 0, 0, 0
2.63265306122449, -1.368421052631579, -0.1, 34, 3, 0, 0, 0, 0
2.857142857142858, -1.368421052631579, -0.1, 35, 3, 0, 0, 0, 0
3.081632653061225, -1.368421052631579, -0.1, 36, 3, 0, 0, 0, 0
3.306122448979592, -1.368421052631579, -0.1, 37, 3, 0, 0, 0, 0
3.530612244897959, -1.368421052631579, -0.1, 38, 3, 0, 0, 0, 0
3.755102040816327, -1.368421052631579, -0.1, 39, 3, 0, 0, 0, 0
3.979591836734695, -1.368421052631579, -0.1, 40, 3, 0, 0, 0, 0
4.204081632653061, -1.368421052631579, -0.1, 41, 3, 0, 0, 0, 0
4.428571428571429, -1.368421052631579, -0.1, 42, 3, 0, 0, 0, 0
4.653061224489795, -1.368421052631579, -0.1, 43, 3, 0, 0, 0, 0
